gene_id,log2FoldChange,pvalue,padj,Comparison
YKL188C,-1.192185,3.888298e-07,3.332671e-06,A_vs_E
YKL189W,-1.229137,3.033895e-05,0.0001564176,A_vs_E
YKL198C,-2.076702,3.43821e-14,1.38758e-12,A_vs_E
YKL206C,-1.339975,1.880219e-06,1.341692e-05,A_vs_E
YKL211C,-1.359453,2.1543e-06,1.512478e-05,A_vs_E
YKL212W,-1.29832,1.334339e-06,9.95283e-06,A_vs_E
YKL213C,-1.84144,4.809051e-18,4.070327e-16,A_vs_E
YKL219W,-2.59512,1.735786e-15,9.278843e-14,A_vs_E
YKL220C,-1.530366,1.00868e-06,7.790746e-06,A_vs_E
YKR005C,-1.234378,0.002773139,0.008047385,A_vs_E
YKR021W,-1.274701,8.201099e-07,6.541557e-06,A_vs_E
YKR027W,-1.241656,3.44377e-05,0.0001748861,A_vs_E
YKR046C,-1.572527,9.366329e-08,9.46574e-07,A_vs_E
YKR051W,-1.34327,6.042307e-07,4.942526e-06,A_vs_E
YKR058W,-1.535559,2.038782e-07,1.885332e-06,A_vs_E
YKR070W,-1.477631,7.162256e-05,0.0003331816,A_vs_E
YKR074W,-2.057958,4.208691e-15,2.035537e-13,A_vs_E
YKR080W,-1.329042,0.002122038,0.006401831,A_vs_E
YKR093W,-1.148086,4.903731e-07,4.076854e-06,A_vs_E
YKR102W,-2.076586,1.471887e-07,1.4122e-06,A_vs_E
YKR103W,-1.539232,0.0004379072,0.001648983,A_vs_E
YLL007C,-1.181304,0.0002955407,0.001175604,A_vs_E
YLL014W,-1.990893,9.317958e-07,7.279953e-06,A_vs_E
YLL017W,-1.308839,0.01029796,0.02546907,A_vs_E
YLL018C-A,-1.629235,0.00136083,0.004383138,A_vs_E
YLL023C,-1.591258,7.63335e-06,4.65642e-05,A_vs_E
YLL031C,-1.785473,7.026575e-12,1.878068e-10,A_vs_E
YLL041C,-1.428853,0.0005327432,0.001953392,A_vs_E
YLL051C,-1.185308,1.433139e-06,1.061184e-05,A_vs_E
YLL055W,-1.512188,2.668128e-05,0.000138852,A_vs_E
YLR034C,-2.510633,1.717637e-31,4.984418e-29,A_vs_E
YLR043C,-1.278132,0.001912674,0.005866048,A_vs_E
YLR047C,-1.031746,0.001587393,0.005012213,A_vs_E
YLR053C,-2.043166,5.488835e-07,4.526246e-06,A_vs_E
YLR054C,-1.405211,0.001789434,0.005566518,A_vs_E
YLR056W,-1.117055,0.01123646,0.02727002,A_vs_E
YLR058C,-2.299446,1.342203e-05,7.601656e-05,A_vs_E
YLR081W,-2.010149,3.061151e-06,2.08665e-05,A_vs_E
YLR089C,-2.170552,3.76115e-20,4.0211310000000004e-18,A_vs_E
YLR090W,-1.211871,1.105661e-06,8.475344e-06,A_vs_E
YLR092W,-2.447299,1.487922e-10,2.915561e-09,A_vs_E
YLR093C,-1.030874,1.678447e-07,1.580905e-06,A_vs_E
YLR100W,-2.018977,4.832388e-12,1.357077e-10,A_vs_E
YLR120C,-1.393416,3.591482e-05,0.0001817749,A_vs_E
YLR134W,-1.828074,0.000121871,0.0005285991,A_vs_E
YLR144C,-1.016564,6.021556e-06,3.773635e-05,A_vs_E
YLR152C,-1.999041,1.786111e-12,5.361853e-11,A_vs_E
YLR153C,-1.738376,2.241044e-09,3.330957e-08,A_vs_E
YLR173W,-1.796087,8.430912e-09,1.086215e-07,A_vs_E
YLR178C,-1.300503,9.048928e-05,0.0004106044,A_vs_E
YLR180W,-1.486256,0.0004394981,0.00165211,A_vs_E
YLR188W,-1.088057,0.002473039,0.007305235,A_vs_E
YLR199C,-1.17449,0.0006981592,0.00248806,A_vs_E
YLR207W,-1.105195,8.938198e-08,9.078229e-07,A_vs_E
YLR237W,-2.215947,1.927111e-14,8.388438e-13,A_vs_E
YLR251W,-2.433786,2.445797e-07,2.221264e-06,A_vs_E
YLR262C-A,-1.184452,0.0004019362,0.001535674,A_vs_E
YLR266C,-1.542706,5.598068e-08,5.943315e-07,A_vs_E
YLR267W,-3.061272,1.228199e-06,9.274652e-06,A_vs_E
